	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52716	EPSILON	2020	10	16	2020-10-16 12:00:00	31.5	-54.9	20.0	1013.0
52717	EPSILON	2020	10	16	2020-10-16 18:00:00	31.2	-55.1	25.0	1011.0
52718	EPSILON	2020	10	17	2020-10-17 00:00:00	30.9	-55.5	30.0	1009.0
52719	EPSILON	2020	10	17	2020-10-17 06:00:00	30.7	-55.9	30.0	1009.0
52720	EPSILON	2020	10	17	2020-10-17 12:00:00	30.3	-56.2	30.0	1008.0
52721	EPSILON	2020	10	17	2020-10-17 18:00:00	29.7	-56.3	30.0	1008.0
52722	EPSILON	2020	10	18	2020-10-18 00:00:00	28.9	-56.3	30.0	1006.0
52723	EPSILON	2020	10	18	2020-10-18 06:00:00	28.1	-56.3	30.0	1004.0
52724	EPSILON	2020	10	18	2020-10-18 12:00:00	27.3	-56.4	30.0	1004.0
52725	EPSILON	2020	10	18	2020-10-18 18:00:00	26.4	-56.6	30.0	1003.0
52726	EPSILON	2020	10	19	2020-10-19 00:00:00	25.7	-56.3	30.0	1003.0
52727	EPSILON	2020	10	19	2020-10-19 06:00:00	25.5	-55.9	30.0	1003.0
52728	EPSILON	2020	10	19	2020-10-19 12:00:00	25.4	-55.6	35.0	1000.0
52729	EPSILON	2020	10	19	2020-10-19 18:00:00	25.3	-55.4	40.0	998.0
52730	EPSILON	2020	10	20	2020-10-20 00:00:00	25.2	-55.2	40.0	998.0
52731	EPSILON	2020	10	20	2020-10-20 06:00:00	25.5	-54.9	45.0	996.0
52732	EPSILON	2020	10	20	2020-10-20 12:00:00	26.2	-54.7	50.0	994.0
52733	EPSILON	2020	10	20	2020-10-20 18:00:00	27.3	-55.3	55.0	992.0
52734	EPSILON	2020	10	21	2020-10-21 00:00:00	28.3	-56.3	65.0	987.0
52735	EPSILON	2020	10	21	2020-10-21 06:00:00	28.7	-57.7	75.0	976.0
52736	EPSILON	2020	10	21	2020-10-21 12:00:00	28.9	-58.7	85.0	968.0
52737	EPSILON	2020	10	21	2020-10-21 18:00:00	29.3	-59.6	100.0	955.0
52738	EPSILON	2020	10	22	2020-10-22 00:00:00	29.5	-60.4	100.0	952.0
52739	EPSILON	2020	10	22	2020-10-22 06:00:00	30.2	-60.9	90.0	958.0
52740	EPSILON	2020	10	22	2020-10-22 12:00:00	30.8	-61.3	80.0	965.0
52741	EPSILON	2020	10	22	2020-10-22 18:00:00	31.5	-61.5	75.0	968.0
52742	EPSILON	2020	10	23	2020-10-23 00:00:00	32.2	-61.6	75.0	968.0
52743	EPSILON	2020	10	23	2020-10-23 06:00:00	32.9	-61.6	75.0	968.0
52744	EPSILON	2020	10	23	2020-10-23 12:00:00	33.7	-61.6	75.0	966.0
52745	EPSILON	2020	10	23	2020-10-23 18:00:00	34.9	-61.7	75.0	964.0
52746	EPSILON	2020	10	24	2020-10-24 00:00:00	36.1	-62.0	75.0	962.0
52747	EPSILON	2020	10	24	2020-10-24 06:00:00	36.8	-62.1	75.0	957.0
52748	EPSILON	2020	10	24	2020-10-24 12:00:00	37.4	-61.3	75.0	957.0
52749	EPSILON	2020	10	24	2020-10-24 18:00:00	38.6	-59.7	70.0	960.0
52750	EPSILON	2020	10	25	2020-10-25 00:00:00	40.3	-57.6	65.0	962.0
52751	EPSILON	2020	10	25	2020-10-25 06:00:00	42.0	-55.2	65.0	963.0
52752	EPSILON	2020	10	25	2020-10-25 12:00:00	43.3	-51.8	65.0	964.0
52753	EPSILON	2020	10	25	2020-10-25 18:00:00	45.0	-46.9	60.0	966.0
52754	EPSILON	2020	10	26	2020-10-26 00:00:00	47.2	-41.2	60.0	968.0
52755	EPSILON	2020	10	26	2020-10-26 06:00:00	49.5	-34.7	60.0	969.0
52756	EPSILON	2020	10	26	2020-10-26 12:00:00	52.1	-28.5	60.0	964.0
