State	Monthly Rainfall	Longitude	Latitude	
Anhui	149.5	117	32	
Beijing	159.9	116.412144	40.190632	
Chongqing	110.7	107.8748712	30.05518	
Fujian	163.5	117.842778	26.5450001	
Gansu	59.3	101.9999999	38.0000001	
Guangdong	312.4	113.1982688	23.1357694	
Guangxi	306.8	109	24	
Guizhou	130	107	27	
Hainan	384.9	109.5999999	19.2000001	
Hebei	123.5	116	39.0000001	
Heilongjiang	89.9	127.999992	48.0000047	
Henan	136.8	113.9999999	34.0000001	
Hubei	120.6	114.3423	30.5454	
Hunan	117.7	111.7487063	27.6662087	
Inner Mongolia	68.7	114.3251664	43.2443242	
Jiangsu	146.6	119.9999999	33.0000001	
Jiangxi	127.6	116	28	
Jilin	171.4	125.9816054	42.9995032	
Liaoning	121	122.3593868	41.9056058	
Ningxia	60.4	105.9999999	37.0000001	
Qinghai	62.6	100.617	36.267	
Shaanxi	108.6	109.1357285	35.8894105	
Shandong	209.5	118.9999999	36.0000001	
Shanxi	144.1	112	37	
Sichuan	162.5	102.4999999	30.5000001	
Tianjin	129.5	117.4163641	39.3032619	
Tibet	144.3	90.8749807	29.8556443	
Xinjiang	18.6	85.4633464	42.4804953	
Yunnan	274.7	102	25	
Zhejiang	82.7	119.9999999	29.0000001	
