Volcano Number	Volcano Name	Start Year	Start Month	Latitude	Longitude	VEI
260010	Barren Island	2022	12	12.278	93.858	2
355100	Lascar	2022	12	-23.37	-67.73	3
211060	Etna	2022	11	37.748	14.999	1
332020	Mauna Loa	2022	11	19.475	-155.608	0
284141	Ahyi	2022	11	20.42	145.03	1
300260	Klyuchevskoy	2022	11	56.056	160.642	1
343100	San Miguel	2022	11	13.434	-88.269	2
352050	Cotopaxi	2022	10	-0.677	-78.436	2
261170	Kerinci	2022	10	-1.697	101.264	2
290260	Chirinkotan	2022	10	48.98	153.48	2
273070	Taal	2022	10	14.0106	120.9975	1
284096	Nishinoshima	2022	10	27.247	140.874	2
233020	"Fournaise, Piton de la"	2022	9	-21.244	55.708	0
243080	Home Reef	2022	9	-18.992	-174.775	2
290390	Alaid	2022	9	50.861	155.565	2
284100	Kaitoku Seamount	2022	8	26.1217	141.0955	0
371032	Fagradalsfjall	2022	8	63.895	-22.258	0
345070	Turrialba	2022	7	10.025	-83.767	1
284120	Ioto	2022	7	24.751	141.289	1
290380	Ebeko	2022	6	50.686	156.014	2
273030	Mayon	2022	6	13.257	123.685	0
273010	Bulusan	2022	6	12.769	124.056	2
252120	Ulawun	2022	6	-5.05	151.33	2
261230	Dempo	2022	5	-4.016	103.121	1
263340	Raung	2022	5	-8.119	114.056	2
257020	Gaua	2022	5	-14.281	167.514	1
345040	Poas	2022	4	10.2	-84.233	1
351060	Purace	2022	3	2.32	-76.4	1
284110	Kita-Ioto	2022	3	25.424	141.284	1
264050	Sangeang Api	2022	2	-8.2	119.07	2
257040	Ambrym	2022	1	-16.25	168.12	1
290360	Chikurachki	2022	1	50.324	155.461	2
353020	Wolf	2022	1	0.02	-91.35	2
233020	"Fournaise, Piton de la"	2021	12	-21.244	55.708	0
243040	Hunga Tonga-Hunga Ha'apai	2021	12	-20.5532	-175.3841	5
257030	Ambae	2021	12	-15.389	167.835	1
273083	Pinatubo	2021	11	15.13	120.35	1
264250	Iliwerung	2021	11	-8.532	123.573	0
257020	Gaua	2021	11	-14.281	167.514	1
273070	Taal	2021	11	14.0106	120.9975	2
345070	Turrialba	2021	11	10.025	-83.767	1
282110	Asosan	2021	10	32.8849	131.085	2
255060	Kavachi	2021	10	-8.991	157.979	0
332010	Kilauea	2021	9	19.421	-155.287	0
383010	La Palma	2021	9	28.57	-17.83	3
284096	Nishinoshima	2021	8	27.247	140.874	2
284130	Fukutoku-Oka-no-Ba	2021	8	24.285	141.481	4
284120	Ioto	2021	8	24.751	141.289	1
290260	Chirinkotan	2021	8	48.98	153.48	2
312030	Pavlof	2021	8	55.417	-161.894	2
284170	Pagan	2021	7	18.13	145.8	2
264270	Sirung	2021	7	-8.508	124.13	1
252120	Ulawun	2021	7	-5.05	151.33	2
357090	Copahue	2021	7	-37.856	-71.183	1
273070	Taal	2021	7	14.0106	120.9975	1
345020	Rincon de la Vieja	2021	6	10.83	-85.324	2
345070	Turrialba	2021	6	10.025	-83.767	1
262000	Krakatau	2021	5	-6.1009	105.4233	2
311120	Great Sitkin	2021	5	52.076	-176.13	2
263200	Dieng Volcanic Complex	2021	4	-7.2	109.879	1
344040	Telica	2021	4	12.606	-86.84	1
233020	"Fournaise, Piton de la"	2021	4	-21.244	55.708	0
290360	Chikurachki	2021	3	50.324	155.461	1
371032	Fagradalsfjall	2021	3	63.895	-22.258	0
312070	Veniaminof	2021	2	56.17	-159.38	1
311060	Semisopochnoi	2021	2	51.93	179.58	2
263340	Raung	2021	1	-8.119	114.056	2
263250	Merapi	2020	12	-7.54	110.446	1
284120	Ioto	2020	12	24.751	141.289	1
344020	San Cristobal	2020	12	12.702	-87.004	2
360150	Soufriere St. Vincent	2020	12	13.33	-61.18	4
263310	Tengger Caldera	2020	12	-7.942	112.95	1
332010	Kilauea	2020	12	19.421	-155.287	0
233020	"Fournaise, Piton de la"	2020	12	-21.244	55.708	0
264230	Lewotolok	2020	11	-8.274	123.508	2
282060	Kikai	2020	10	30.793	130.305	1
255060	Kavachi	2020	9	-8.991	157.979	0
282050	Kuchinoerabujima	2020	8	30.443	130.217	1
261080	Sinabung	2020	8	3.17	98.392	3
344040	Telica	2020	7	12.606	-86.84	1
263340	Raung	2020	7	-8.119	114.056	1
345070	Turrialba	2020	6	10.025	-83.767	1
357090	Copahue	2020	6	-37.856	-71.183	2
311240	Cleveland	2020	6	52.825	-169.944	3
282060	Kikai	2020	4	30.793	130.305	1
300130	Karymsky	2020	4	54.049	159.443	3
266030	Soputan	2020	3	1.112	124.737	2
255060	Kavachi	2020	3	-8.991	157.979	0
290240	Sarychev Peak	2020	2	48.092	153.2	1
343100	San Miguel	2020	2	13.434	-88.269	1
233020	"Fournaise, Piton de la"	2020	2	-21.244	55.708	0
345020	Rincon de la Vieja	2020	1	10.83	-85.324	2
353010	Fernandina	2020	1	-0.37	-91.55	0
273070	Taal	2020	1	14.0106	120.9975	4
282050	Kuchinoerabujima	2020	1	30.443	130.217	3
