state_name,county_name,state_fips,county_fips,age_adjusted_percent,age_adjusted_percent_sd,age_adjusted_percent_95l,age_adjusted_percent_p5u,est_percent,percent_sd,percent_95l,percent_95u,estimated_total,estimated_total_sd,estimated_total_95l,estimated_total_95h,v1,v2,obesity_bin,obesity_category
"ALASKA","Aleutians East Borough","02","013",28.6,4.8,20.1,39.1,28.4,4.9,19.8,39.3,690,119,481,954,"",,3,2
"ALASKA","Aleutians West Census Area","02","016",30.2,4.5,22.3,39.8,30,4.6,22,39.9,1169,179,855,1553,"",,4,4
"ALASKA","Anchorage Municipality","02","020",26.6,1.5,23.6,29.6,26.5,1.5,23.4,29.5,52590,3080,46530,58630,"",,2,1
"ALASKA","Bethel Census Area","02","050",32.1,2.9,26.5,38.2,31.9,2.9,26.3,37.8,3254,297,2684,3861,"",,4,5
"ALASKA","Bristol Bay Borough","02","060",32.2,5.9,22,45.1,32.6,6,22.3,45.9,231,42,158,325,"",,4,5
"ALASKA","Denali Borough","02","068",29.1,4.9,20.4,39.5,29.8,5,21,40.5,431,72,303,585,"",,3,3
"ALASKA","Dillingham Census Area","02","070",38.3,5.1,29,49.1,38.5,5.1,29.3,49.4,1236,165,940,1586,"",,6,5
"ALASKA","Fairbanks North Star Borough","02","090",25.8,1.4,23.3,28.6,25.5,1.4,22.9,28.3,17400,936,15610,19250,"",,2,0
"ALASKA","Haines Borough","02","100",28.7,4.9,20.3,39.4,29.4,4.9,20.7,40.1,528,88,372,720,"",,3,2
"ALASKA","Hoonah-Angoon Census Area","02","232",30.8,4.7,22.4,41,30.6,4.8,22.2,40.9,296,46,214,395,"",,4,4
"ALASKA","Juneau City and Borough","02","110",26.5,2.1,22.6,30.9,26.7,2.1,22.8,31,6210,483,5300,7208,"",,2,1
"ALASKA","Kenai Peninsula Borough","02","122",29.3,1.7,26.2,32.8,29.9,1.7,26.8,33.4,11830,667,10610,13190,"",,3,3
"ALASKA","Ketchikan Gateway Borough","02","130",33.8,3.1,28.2,40.1,34,3,28.5,40.2,3301,293,2760,3901,"",,5,5
"ALASKA","Kodiak Island Borough","02","150",26,3.1,20.4,32.3,26.2,3.1,20.5,32.5,2365,280,1853,2939,"",,2,0
"ALASKA","Lake and Peninsula Borough","02","164",33.9,5.9,23.7,46.5,34.3,6,23.9,47,342,59,238,468,"",,5,5
"ALASKA","Matanuska-Susitna Borough","02","170",27.9,2.4,23.5,32.9,27.9,2.4,23.4,32.8,17120,1478,14370,20140,"",,3,2
"ALASKA","Nome Census Area","02","180",32.8,3.9,25.8,41,33,3.9,25.9,41.2,1914,225,1505,2396,"",,5,5
"ALASKA","North Slope Borough","02","185",37.6,5.2,28.4,48.4,37.7,5.2,28.5,49,1547,215,1167,2007,"",,6,5
"ALASKA","Northwest Arctic Borough","02","188",31.3,4,24.1,39.9,31.3,4.1,24,39.9,1412,184,1081,1801,"",,4,4
"ALASKA","Prince of Wales-Outer Ketchikan Census Area","02","201",33.6,4.6,25.4,43.5,33.8,4.6,25.5,43.5,1404,193,1058,1810,"",,5,5
"ALASKA","Sitka City and Borough","02","220",30.2,3.8,23.2,38.3,30.5,3.9,23.5,38.7,2033,257,1564,2583,"",,4,4
"ALASKA","Southeast Fairbanks Census Area","02","240",31.3,4.7,23,41.1,31.4,4.8,23,41.3,1460,221,1067,1920,"",,4,4
