latitude,longitude,depth,mag
-42.2914,173.8065,10,4.9
-42.3703,173.8945,10,4.9
-41.827,174.4443,10,4.6
-41.73,174.34,8,5.1
-42.3626,173.9899,10,5.1
-41.9152,174.2154,10,4.8
-42.6355,173.2285,10,4.9
-32.0657,-68.2729,128.98,5.1
-41.8603,174.265,14.7,5.1
-28.872,-67.4683,110.24,5.7
-41.7811,174.3646,10.33,5.2
-42.2914,173.6933,8.29,6.2
-41.8159,174.2091,10,5.3
-41.8566,174.0259,20.92,4.9
-42.232,173.6438,4.92,4.9
-41.6951,174.222,19.4,5.2
-42.3911,173.3647,10,5.2
-17.4442,-174.1895,97.12,4.7
-42.712,172.8343,9.58,5.2
-42.2839,173.4519,10.46,4.9
-41.684,174.4913,13.67,5
-42.1985,173.6145,16.04,6.1
-41.7875,174.1117,10,5.7
-42.2536,173.6298,10,6.5
-42.3902,173.6554,10.37,5.8
28.2298,143.5938,10,4.9
-42.7568,173.0766,23,7.8
31.3414,142.2804,28.61,4.5
-20.0247,-177.8906,525.96,4.5
19.281,-68.9199,14.3,4.8
-28.1017,-67.3245,121.05,5.7
-24.9817,-179.9581,490.46,4.6
37.0069,142.0324,18.22,4.6
57.0729,-157.7085,11.4,5.2
-6.3431,103.5635,42.23,4.6
6.1803,-82.4554,10,5
-24.9651,178.6596,564.95,5.5
-17.5257,-178.6153,535.73,4.8
24.056,122.5195,30.03,4.9
38.4993,141.5611,44.83,6.2
-4.4273,133.9323,12.22,4.7
-8.5755,-74.4728,144.82,5.1
-60.4509,-47.5545,10,4.7
52.7691,174.4701,97.52,5.2
49.9566,153.6647,199.08,4.6
34.4412,136.8461,348.15,4.7
-8.9995,111.3859,35,5.1
-12.8927,169.3817,639.36,4.5
-14.8146,-73.5968,67.24,4.9
-20.4172,-178.2071,546.21,5.6
-19.1163,-69.4535,94.59,4.5
-50.0219,114.194,10,5.2
41.0726,22.673,10,4.8
-16.4577,-173.2688,10,5
13.8472,145.3772,97.53,4.7
-8.8707,111.3925,73.76,4.8
14.82,121.4287,52.27,4.9
14.2979,-93.0443,54.16,4.6
38.7666,142.1254,42.12,5.1
-4.7298,149.8506,446.24,5.9
-36.5108,-73.6033,12.79,4.7
-36.4734,-73.7061,10,4.5
-14.8843,167.0993,96.12,4.9
-27.2538,-63.3462,563.02,5.1
-17.1276,-70.4568,122.59,4.5
-38.188,-74.1353,7.85,4.5
-25.4077,-70.183,57.62,4.7
-2.3681,100.6863,57.06,4.6
-58.2127,148.3125,10,4.7
51.8383,-179.0501,35,4.9
-36.6082,-73.5222,22.21,5.1
-58.0464,148.291,32.96,4.9
-36.6029,-73.6206,21.6,4.9
-36.5898,-73.4947,20.03,4.9
-36.5806,-73.6355,17.3,5.9
-58.1573,148.4807,10,5
-58.1371,148.1298,10,5.7
-5.7905,146.4721,63.48,5.4
-8.1021,104.8521,33,5.8
-22.2009,-179.5226,569.95,4.7
-39.37,173.79,19,4.8
-23.9891,-66.6231,208.02,4.6
84.8823,102.1032,16.22,4.6
22.9782,121.4627,7.02,4.8
-34.5756,-179.1168,35,4.6
15.9675,-93.8175,104.51,4.7
35.9837,-96.7982,5,5
26.4102,128.6612,28.37,5
16.8131,-60.8763,33.58,4.6
-27.9791,-66.696,153.41,4.9
38.8707,140.4424,105.91,4.5
0.5722,98.4737,51.94,4.8
48.2412,145.4934,488.06,4.6
-19.1015,128.0019,10.61,4.8
-6.4071,129.8875,133.62,4.6
56.2122,156.9385,15.77,4.7
-4.4047,153.6159,106.55,4.9
-28.0931,-177.2264,133.83,4.6
6.3876,126.892,92.67,4.6
-54.9817,-129.6014,10,5.3
30.7671,-41.0986,10,5
9.9203,126.6018,49.91,4.7
14.0357,145.3497,83.61,4.9
12.0588,143.8091,35,4.7
2.8662,95.4824,29.27,5
-37.5235,179.2126,10,4.6
-6.6991,155.3259,62.64,5
1.0323,126.8794,42.75,4.7
-35.1033,-70.9964,90.79,6.4
-18.8732,169.2605,209.73,4.9
-7.3717,111.3561,16.01,4.7
-20.1455,-174.4868,95.38,4.6
-17.6566,179.7112,581.12,4.5
1.3134,124.1425,269.96,4.5
-35.6968,-178.9548,10,5
-28.7242,-177.3589,51.84,4.9
3.6585,122.2781,596.75,4.5
-2.9408,129.4141,36.24,5
41.9958,88.2009,36.11,4.6
6.1699,125.8992,159.54,4.8
-19.3546,-69.2907,113.29,5.1
12.209,-87.8596,35.73,4.9
43.0293,13.0042,10,4.8
-30.5388,-177.6176,12.77,5
-37.6635,179.1096,14.5,4.7
-18.6329,-172.8887,35,4.8
-22.4956,-68.3678,119.04,5.1
36.3077,-96.6472,2.56,4.5
54.7338,163.6968,10,5.4
14.2855,56.6635,10,4.5
14.2897,56.6289,10,4.7
-23.1104,-66.581,208.94,4.6
37.5258,141.707,12.71,4.9
25.7713,128.4349,10,5.2
-13.6404,166.8748,112.46,5
-37.4308,176.9576,185.84,4.7
-6.1151,148.6498,55.35,5.9
-23.0089,-66.2758,246.94,4.5
33.2105,140.8231,54.31,4.7
-35.2427,-15.1079,17.72,5.2
43.013,13.1631,10,4.9
25.2341,126.5346,69.5,4.6
-29.8574,-72.0697,9.63,4.5
20.8956,61.6477,10,5.5
13.0338,-90.5103,10,4.5
-33.7609,-72.5757,1.84,4.9
-3.4467,152.0303,350.73,4.9
-26.9581,26.804,5,4.5
-22.4703,-68.6087,108.63,5.1
-17.8005,-175.0415,213.47,4.8
3.3803,-74.4671,35,5
3.4372,-74.4445,44,5.4
-40.266,-91.9904,10,5.2
0.2345,126.3498,36.2,4.7
-23.6568,-175.1532,10,5.3
42.805,13.0994,10,4.6
-16.9543,168.6679,225.6,4.5
42.839,12.999,10,4.7
42.8209,13.0139,6.11,4.5
43.1228,13.1153,10,4.6
42.7654,12.9672,10,4.7
-18.1503,-177.7689,608.53,4.5
42.8547,13.0884,10,6.6
44.374,39.5963,10,4.6
-25.1694,-70.4212,49.58,5.2
-6.5873,129.9189,173.08,4.5
-33.8343,-72.5594,10,5.1
-4.7363,149.5869,583.59,4.7
29.7411,-42.685,10,4.9
58.1482,149.0601,17.81,4.8
42.8071,13.0378,10,4.5
29.9699,-42.4943,10,5.2
24.2054,121.7615,35.77,4.5
45.1571,150.1096,54.29,4.5
-57.8887,-25.4658,67.29,4.6
39.3429,143.4613,15.51,4.7
-14.8349,166.8444,39.94,5.1
-56.567,-25.217,7.29,5
-47.3376,32.4244,10,5.5
25.6697,125.0894,14.03,5.1
39.3134,13.536,448.48,5.8
-2.3569,140.2882,16.48,4.9
30.6885,56.3922,17.42,4.8
-4.2441,152.0766,199.35,4.7
