viking1 viking2
Sol F1 C1 F2 C2
95.3 -81.92 -63.29 -87.39 -66.33
95.34 -63.01 -52.79 -67.83 -55.46
95.38 -45.63 -43.13 -60.56 -51.42
95.42 -31.56 -35.31 -61.56 -51.98
95.46 -22.6 -30.33 -52.62 -47.01
95.5 -17.9 -27.72 -47.72 -44.29
95.54 -12.37 -24.65 -31.45 -35.25
95.58 -15.46 -26.37 -34.04 -36.69
95.62 -16.14 -26.74 -28.34 -33.52
95.66 -19.27 -28.48 -29.22 -34.01
95.7 -29.11 -33.95 -37.57 -38.65
95.74 -56.31 -49.06 -43.24 -41.8
95.78 -80.33 -62.41 -57.87 -49.93
95.82 -83.92 -64.4 -73.03 -58.35
95.86 -89.85 -67.69 -82.61 -63.67
95.9 -98.44 -72.47 -88.46 -66.92
95.94 -103.18 -75.1 -95.12 -70.62
95.98 -105.07 -76.15 -100.57 -73.65
96.02 -109.86 -78.81 -105.97 -76.65
96.06 -115.15 -81.75 -110.11 -78.95
96.1 -120.88 -84.93 -112.02 -80.01
96.14 -124.75 -87.09 -110.94 -79.41
96.18 -123.93 -86.63 -120.3 -84.61
96.22 -116.3 -82.39 -105.12 -76.18
96.26 -102.76 -74.87 -96.68 -71.49
96.3 -84.96 -64.98 -79.55 -61.97
96.34 -65 -53.89 -69.56 -56.42
96.38 -46.88 -43.82 -59.64 -50.91
96.42 -35.06 -37.26 -53.39 -47.44
96.46 -29.8 -34.33 -53.48 -47.49
96.5 -20.46 -29.15 -40.58 -40.32
96.54 -14.22 -25.68 -32.67 -35.93
96.58 -14.52 -25.84 -25.91 -32.17
96.62 -16.1 -26.72 -25.24 -31.8 
