	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52147	GONZALO	2020	7	20	2020-07-20 12:00:00	8.9	-36.8	20.0	1010.0
52148	GONZALO	2020	7	20	2020-07-20 18:00:00	8.6	-37.5	25.0	1009.0
52149	GONZALO	2020	7	21	2020-07-21 00:00:00	8.6	-38.2	25.0	1009.0
52150	GONZALO	2020	7	21	2020-07-21 06:00:00	8.8	-38.8	25.0	1009.0
52151	GONZALO	2020	7	21	2020-07-21 12:00:00	9.2	-39.3	25.0	1009.0
52152	GONZALO	2020	7	21	2020-07-21 18:00:00	9.7	-40.0	30.0	1008.0
52153	GONZALO	2020	7	22	2020-07-22 00:00:00	9.8	-40.9	30.0	1008.0
52154	GONZALO	2020	7	22	2020-07-22 06:00:00	9.8	-41.9	35.0	1006.0
52155	GONZALO	2020	7	22	2020-07-22 12:00:00	9.9	-43.0	40.0	1003.0
52156	GONZALO	2020	7	22	2020-07-22 18:00:00	9.9	-44.2	45.0	1000.0
52157	GONZALO	2020	7	23	2020-07-23 00:00:00	9.9	-45.4	50.0	998.0
52158	GONZALO	2020	7	23	2020-07-23 06:00:00	9.7	-46.6	55.0	997.0
52159	GONZALO	2020	7	23	2020-07-23 12:00:00	9.7	-47.6	55.0	997.0
52160	GONZALO	2020	7	23	2020-07-23 18:00:00	9.7	-48.8	50.0	1000.0
52161	GONZALO	2020	7	24	2020-07-24 00:00:00	9.8	-50.2	50.0	1000.0
52162	GONZALO	2020	7	24	2020-07-24 06:00:00	9.9	-51.6	50.0	1001.0
52163	GONZALO	2020	7	24	2020-07-24 12:00:00	9.9	-53.3	45.0	1003.0
52164	GONZALO	2020	7	24	2020-07-24 18:00:00	9.9	-54.8	35.0	1008.0
52165	GONZALO	2020	7	25	2020-07-25 00:00:00	10.0	-56.3	35.0	1008.0
52166	GONZALO	2020	7	25	2020-07-25 06:00:00	10.1	-57.9	35.0	1008.0
52167	GONZALO	2020	7	25	2020-07-25 12:00:00	10.3	-59.8	35.0	1008.0
52168	GONZALO	2020	7	25	2020-07-25 15:30:00	10.5	-61.0	30.0	1009.0
52169	GONZALO	2020	7	25	2020-07-25 18:00:00	10.8	-62.1	30.0	1009.0
