Year	Month	Day	Hour	Lat	Long	Pressure 	Wind 	Class
2018	9	6	12	11.8	170.2	1008	0	2
2018	9	6	18	12.0	169.2	1008	0	2
2018	9	7	00	12.0	167.8	1008	0	2
2018	9	7	06	12.3	166.6	1006	0	2
2018	9	7	12	12.7	165.4	1000	35	3
2018	9	7	18	13.0	163.9	1000	35	3
2018	9	8	00	13.6	162.3	998	40	3
2018	9	8	06	14.3	160.6	996	40	3
2018	9	8	12	14.5	159.2	992	45	3
2018	9	8	18	14.6	157.4	990	50	4
2018	9	9	00	14.8	155.2	975	65	5
2018	9	9	06	15.3	152.9	975	65	5
2018	9	9	12	15.1	151.4	970	70	5
2018	9	9	18	14.6	149.1	955	80	5
2018	9	10	00	14.6	147.5	955	80	5
2018	9	10	06	14.4	145.6	955	80	5
2018	9	10	12	14.2	144.2	950	85	5
2018	9	10	18	14.0	142.6	940	90	5
2018	9	11	00	14.0	141.3	935	95	5
2018	9	11	06	13.9	139.8	915	105	5
2018	9	11	12	13.7	138.7	905	110	5
2018	9	11	18	14.0	137.4	905	110	5
2018	9	12	00	13.9	136.2	905	110	5
2018	9	12	06	14.0	135.2	905	110	5
2018	9	12	12	14.3	134.0	905	110	5
2018	9	12	18	14.4	132.5	905	110	5
2018	9	13	00	14.5	131.4	905	110	5
2018	9	13	06	14.8	130.0	905	110	5
2018	9	13	12	14.9	128.9	905	110	5
2018	9	13	18	15.2	127.9	905	110	5
2018	9	14	00	16.0	126.9	905	110	5
2018	9	14	06	16.7	125.7	905	110	5
2018	9	14	12	17.4	124.1	905	110	5
2018	9	14	18	18.0	122.3	905	110	5
2018	9	15	00	18.0	120.5	940	90	5
2018	9	15	06	18.5	119.7	940	90	5
2018	9	15	12	19.2	118.3	950	85	5
2018	9	15	18	19.8	117.0	955	80	5
2018	9	16	00	20.6	115.3	960	75	5
2018	9	16	06	21.7	113.5	960	75	5
2018	9	16	12	22.2	111.6	970	65	5
2018	9	16	18	22.7	109.7	980	55	4
2018	9	17	00	23.2	108.3	992	45	3
2018	9	17	06	24.0	107.0	998	0	2
2018	9	17	12	24.0	105.6	1002	0	2
2018	9	17	18	24.1	103.9	1004	0	2
